IssueType,DeviceType,IssueTime,IssueDetails,MobileNumber,emailId,mode,cdn,DeviceDetails,OSDetails,platform,new_Platform,AppVersion,country,state,NetworkStrength,contentID,AdvertiseVideo,userIdentifier,ContractId,Customer_Id,ComplaintId
Functionalities and features of the app,Laptop,08/08/2022 00:00:00,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse,5177479927,aklaiser5g@dion.ne.jp,Phone Call,Akamai,Roku,Roku OS 9.4 3rd Generation,Amazon Prime Video,,None,Namibia,Windhoek,,b29feebd-d019-4d5f-913a-1f0a204c8a4d,Video,scottshields,02-4421446,1468750,418678
Playback Quality,Tablets,28/03/2022 00:00:00,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras,5642584618,berangey5h@seattletimes.com,Chat,Akamai,Amazon Fire TV,All Fire TV devices,Netflix,,FireOS 7.6.1.3,Ghana,Accra,,714ab04f-a726-4dc8-8020-3de41c2108bd,Advertise,derek81,90-8889407,1849580,2187992
Customer Support,TV,24/02/2022 00:00:00,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam,6027935839,ccallf5i@epa.gov,Phone Call,Akamai,Universal Windows Platform (UWP),Xbox One X/S,Hulu,,Windows 10,Saint Helena,Jamestown,,c12a23e3-524b-4616-a82b-0d6e447b17d7,Advertise,mariawhite,88-2382702,1855241,2047780
Customer Support,Tablets,19/05/2022 00:00:00,sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,9397582860,kiacopo5j@shareasale.com,Phone Call,Akamai,Samsung Tizen TV,21TV_PREMIUM2,Netflix,,Extension 6.5,Palestinian Territory,East Jerusalem,,8749b285-822d-42a9-b0e9-7f29539ff50c,Video,brittanywilliams,04-7032330,1709944,1074991
Functionalities and features of the app,Tablets,08/05/2022 00:00:00,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut,8806055283,bclyma5k@live.com,Email,Cloudfront,iOS,iOS Min version 12.6,Sling TV,,macOS Ventura 13.0.1,Micronesia,Palikir,,7d172962-3e87-4fb1-9462-6d5b351ea8d5,Advertise,tina31,65-1702821,1781381,2387605
Personalized suggestions and recommendations for content,Mobile,02/04/2022 00:00:00,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,6704325425,gsongust5l@cisco.com,Chat,Cloudfront,tvOS,tvOS 11.0,Eros Now,,Xcode 14.1,Jersey,Saint Helier,,168462ed-d4b2-4425-9bf2-8fec5621ddba,Advertise,ipotter,32-2529080,1505411,1421473
Customer Support,Tablets,01/03/2022 00:00:00,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,9169502501,jmuckle5m@e/recht24.de,Chat,Cloudfront,Android,Android 5.0,Mx Player,,Android 11,Bangladesh,Dhaka,,5e71298a-d805-42a7-817b-efe6ae009ca2,Advertise,amy46,08-9546509,1662647,1417629
Customer Support,Desktop,09/04/2022 00:00:00,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,1616427515,npalle5n@deliciousdays.com,Email,Cloudfront,Android TV,Android TV 1st Generation,Zee5,,Android TV 12.3.2,Sint Maarten,Philipsburg,,732fddd2-1a80-4586-8baa-af7e08be7470,Advertise,xtorres,07-3011688,1277108,163643
Better user interface and workability,TV,23/01/2022 00:00:00,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam,8507748759,cgodlip5o@surveymonkey.com,Chat,Cloudfront,Roku,Roku OS 9.4 3rd Generation,Facebook Watch,,None,China,Beijing,,873bd118-9fe2-485e-851e-af0c726c8764,Video,arthurwalton,46-5056076,1632379,1252115
Playback Quality,Laptop,05/04/2022 00:00:00,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in,279528388,lklawi5p@hugedomains.com,Chat,Akamai,Amazon Fire TV,All Fire TV devices,Sling TV,,FireOS 7.6.1.3,Republic of the Congo,Brazzaville,,7d51a33f-41b5-4042-a26d-f80505cd3674,Video,sharpryan,39-7332373,1232889,1271988
Better user interface and workability,Mobile,24/05/2022 00:00:00,vel nisl duis ac nibh fusce lacus purus aliquet at,1417693096,tjendrusch5q@dedecms.com,Chat,Cloudfront,Universal Windows Platform (UWP),Xbox One X/S,Airtel Xstream,,Windows 10,Montenegro,Podgorica,,7163429f-e3fe-450d-999a-7f5c5a54f842,Advertise,elizabeth73,96-8920918,1729265,829364
Better user interface and workability,Tablets,16/07/2022 00:00:00,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus,349536139,achorley5r@stumbleupon.com,Email,Akamai,Samsung Tizen TV,21TV_PREMIUM2,Netflix,,Extension 6.5,Puerto Rico,San Juan,,5dae90d2-83ba-4c08-a0bd-cfb66c3680fb,Video,kevin83,98-1398843,1266769,1740552
Response Time in different networks,Desktop,16/10/2022 00:00:00,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,639956262,nredwall5s@addtoany.com,Chat,Akamai,iOS,iOS Min version 12.6,Facebook Watch,,macOS Ventura 13.0.1,Turkey,Ankara,,67196e39-a5b8-42e6-9bb6-f07315b37d6b,Video,vasquezphilip,30-8343552,1457378,1921851
Device/Browser Compatibility,Mobile,03/09/2022 00:00:00,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,3256815057,tseefus5t@redcross.org,Email,Akamai,tvOS,tvOS 11.0,Facebook Watch,,Xcode 14.1,Mauritius,Port Louis,,56640e6e-2351-439a-87b6-8f96748f9e7f,Video,marykelley,98-5223550,1241829,2373228
Multiple user accounts,TV,20/09/2022 00:00:00,nisl venenatis lacinia aenean sit amet justo morbi ut odio,9458228867,btowle5u@accuweather.com,Phone Call,Cloudfront,Android,Android 5.0,Mx Player,,Android 11,Nauru,Yaren,,b457415e-4ba6-4a68-993d-bb6d53aecc29,Advertise,mckayrobert,52-6963403,1586696,2425815
Customer Support,Laptop,20/12/2021 00:00:00,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,8661686717,rwincer5v@chicagotribune.com,Phone Call,Cloudfront,Android TV,Android TV 1st Generation,Netflix,,Android TV 12.3.2,Belarus,Minsk,,19fe4e15-b2ae-4b7d-85ef-27234062b23b,Advertise,craigadam,07-8679605,1878718,156975
Functionalities and features of the app,Laptop,30/08/2022 00:00:00,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam,3766015923,mphilo5w@biblegateway.com,Email,Cloudfront,Roku,Roku OS 9.4 3rd Generation,Sonyliv,,None,Norway,Oslo,,c8468bbb-3c5a-4209-91ee-4bfbf747c0a3,Video,thomasmyers,20-3377255,1613024,1524019
Personalized suggestions and recommendations for content,Desktop,19/07/2022 00:00:00,sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi,4765172279,mjumeau5x@theatlantic.com,Chat,Cloudfront,Amazon Fire TV,All Fire TV devices,Alt Balaji,,FireOS 7.6.1.3,Taiwan,Taipei,,f916dcd3-0543-4068-8f9b-6700eb18fc4e,Advertise,clarkashley,63-8684912,1781216,1422283
Functionalities and features of the app,Tablets,17/12/2021 00:00:00,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat,2209628660,fbirdwhistle5y@ibm.com,Email,Cloudfront,Universal Windows Platform (UWP),Xbox One X/S,Hulu,,Windows 10,Christmas Island,Flying Fish Cove,,e4ac429b-c441-422c-8c8d-fce947c0e11f,Video,stephen68,14-6904952,1529476,283132
Personalized suggestions and recommendations for content,Tablets,15/03/2022 00:00:00,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,6503176988,mnurden5z@vimeo.com,Phone Call,Akamai,Samsung Tizen TV,21TV_PREMIUM2,Jio Tv,,Extension 6.5,Madagascar,Antananarivo,,ac653a8f-3cd2-4db5-aca6-1c5355307fdf,Video,ljuarez,56-4994460,1680133,555846
Better user interface and workability,Tablets,02/08/2022 00:00:00,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in,8811448891,fpydcock60@rediff.com,Chat,Akamai,iOS,iOS Min version 12.6,Voot,,macOS Ventura 13.0.1,Montserrat,Plymouth,,3300f7ed-009a-41e0-8220-523c94ed5e5b,Video,maldonadodonald,78-4999044,1671701,1394154
Personalized suggestions and recommendations for content,Tablets,19/04/2022 00:00:00,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique,2449563377,fmollin61@blinklist.com,Chat,Cloudfront,tvOS,tvOS 11.0,Alt Balaji,,Xcode 14.1,Moldova,Chisinau,,7a8b2f56-29c7-4c19-ab68-f32e606762fa,Video,qcollins,99-2552638,1698484,1707140
Personalized suggestions and recommendations for content,TV,28/11/2021 00:00:00,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas,6675914073,menderle62@nationalgeographic.com,Email,Cloudfront,Android,Android 5.0,Mx Player,,Android 11,Trinidad and Tobago,Port of Spain,,1d44ee06-dac9-45a2-ac32-a7331a689315,Advertise,millersamantha,61-6276803,1482932,942173
Multiple user accounts,TV,25/07/2022 00:00:00,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,1285112253,sdunk63@godaddy.com,Phone Call,Akamai,Android TV,Android TV 1st Generation,Jio Tv,,Android TV 12.3.2,Tunisia,Tunis,,7c66fd2a-1643-434b-b741-ece1a6936d50,Video,jacksonalexander,94-1608201,1332984,1390443
Functionalities and features of the app,TV,09/02/2022 00:00:00,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque,1775769933,plabbet64@wordpress.org,Phone Call,Cloudfront,Roku,Roku OS 9.4 3rd Generation,Disney + Hotstar,,None,Bhutan,Thimphu,,f6e11405-3dfc-4fad-bce4-3d9f2fb9cea1,Video,erica71,27-6397169,1280672,469799
Device/Browser Compatibility,Mobile,11/06/2022 00:00:00,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,955765722,dlonghurst65@nymag.com,Email,Akamai,Amazon Fire TV,All Fire TV devices,HBO Max,,FireOS 7.6.1.3,Democratic Republic of the Congo,Kinshasa,,767ac82f-1c93-4099-94e2-3d05bdab6161,Video,meghan76,41-2439825,1622064,2475321
Response Time in different networks,Laptop,02/01/2022 00:00:00,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas,6734332616,lferryman66@soup.io,Chat,Akamai,Universal Windows Platform (UWP),Xbox One X/S,Zee5,,Windows 10,United Arab Emirates,Abu Dhabi,,455340f4-fca4-4f83-8878-617e11ea6b2e,Advertise,kenneth12,11-3349346,1593121,2490991
Device/Browser Compatibility,Tablets,05/01/2022 00:00:00,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,7488395239,kbalharry67@1und1.de,Chat,Cloudfront,Samsung Tizen TV,21TV_PREMIUM2,BigFlix,,Extension 6.5,Aland Islands,Mariehamn,,ecff5514-fc70-47e4-ac7a-26483bdd1a08,Video,washingtonrichard,81-1509299,1128002,721000
Security and anti-piracy,Tablets,04/07/2022 00:00:00,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,3717485202,efownes68@cyberchimps.com,Chat,Akamai,iOS,iOS Min version 12.6,Facebook Watch,,macOS Ventura 13.0.1,Sao Tome and Principe,Sao Tome,,cfac0c17-487d-4df4-9964-53dfb4d242f8,Video,carl99,22-4597545,1761229,1134531
Personalized suggestions and recommendations for content,Laptop,18/12/2021 00:00:00,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis,4275363108,ddorkin69@utexas.edu,Email,Cloudfront,tvOS,tvOS 11.0,Disney + Hotstar,,Xcode 14.1,Peru,Lima,,fb7ab22e-f4d3-4899-a91c-7fef1bbb021b,Advertise,gdavis,57-0017070,1564360,2437392
Better user interface and workability,TV,27/01/2022 00:00:00,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis,7180312495,rlockner6a@purevolume.com,Chat,Akamai,Android,Android 5.0,YouTube TV,,Android 11,Croatia,Zagreb,,2807333d-3b05-46aa-ae29-a0835a42f3c0,Video,garciadavid,13-3677216,1749949,1527750
Security and anti-piracy,Tablets,13/01/2022 00:00:00,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,8593223095,rcalifornia6b@uiuc.edu,Phone Call,Cloudfront,Android TV,Android TV 1st Generation,Eros Now,,Android TV 12.3.2,Mayotte,Mamoudzou,,da95cb5c-9c0b-4497-9b4f-924eb2d387f9,Video,rachel99,60-9750798,1468094,1299885
Security and anti-piracy,Laptop,19/03/2022 00:00:00,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,6776502080,apritchard6c@foxnews.com,Email,Akamai,Roku,Roku OS 9.4 3rd Generation,Mx Player,,None,Latvia,Riga,,7f231b10-762e-4d75-9c19-5a76f0085907,Video,wmahoney,03-4024582,1857654,1364461
Customer Support,Laptop,12/05/2022 00:00:00,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,6194145447,mprevost6d@ifeng.com,Email,Akamai,Amazon Fire TV,All Fire TV devices,Zee5,,FireOS 7.6.1.3,Morocco,Rabat,,81c71e0e-ae25-493d-be98-81cfa807f4b5,Video,matthew95,39-5988458,1785759,868341
Device/Browser Compatibility,Tablets,02/09/2022 00:00:00,mi in porttitor pede justo eu massa donec dapibus duis at,5579706472,cjenicek6e@cnn.com,Email,Akamai,Universal Windows Platform (UWP),Xbox One X/S,Amazon Prime Video,,Windows 10,South Sudan,Juba,,0b2710f4-8657-49df-b5c6-0b492c66265f,Video,morsebrandon,96-4544972,1596358,1840666
Better user interface and workability,Desktop,05/06/2022 00:00:00,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique,7982094163,dvaller6f@tmall.com,Chat,Cloudfront,Samsung Tizen TV,21TV_PREMIUM2,Amazon Prime Video,,Extension 6.5,Bulgaria,Sofia,,1ff21d6e-a4b6-4e1d-8c85-7e750185016d,Advertise,bailey08,28-0493227,1515190,1413306
Security and anti-piracy,Laptop,02/05/2022 00:00:00,rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,5813502475,zrowberry6g@wisc.edu,Chat,Cloudfront,iOS,iOS Min version 12.6,Hulu,,macOS Ventura 13.0.1,Panama,Panama City,,ed743c17-82b4-4fbd-bf44-1334f8839936,Advertise,christiancarson,72-9781937,1720597,1511022
Functionalities and features of the app,Tablets,23/10/2022 00:00:00,integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,1516177711,cpledger6h@typepad.com,Email,Cloudfront,tvOS,tvOS 11.0,Disney + Hotstar,,Xcode 14.1,Kazakhstan,Astana,,87ac1d76-03bb-4677-abec-731c46cc3aec,Advertise,ftaylor,70-1971407,1487170,1587690
Security and anti-piracy,Desktop,11/01/2022 00:00:00,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,7142760788,epartener6i@sciencedirect.com,Email,Akamai,Android,Android 5.0,Jio Tv,,Android 11,Uruguay,Montevideo,,9e969a68-1807-4b62-95b5-0fc9882f0b62,Video,angela19,90-5353725,1570458,2278929
Customer Support,Tablets,14/11/2022 00:00:00,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper,6609083487,vbavester6j@hexun.com,Phone Call,Akamai,Android TV,Android TV 1st Generation,Alt Balaji,,Android TV 12.3.2,Uganda,Kampala,,9424fd67-f52a-4cf5-b65e-f365173f4b92,Advertise,kenneth03,80-2792104,1216325,1914423
Offline content,Tablets,23/08/2022 00:00:00,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices,3324366348,jcloute6k@dailymotion.com,Chat,Cloudfront,Roku,Roku OS 9.4 3rd Generation,Mx Player,,None,India,New Delhi,,a8b8991a-a927-46b7-a9a6-4891f28349ff,Video,jessica54,84-3807415,1810247,2086775
Multiple user accounts,TV,21/10/2022 00:00:00,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,8553677621,emagor6l@posterous.com,Email,Akamai,Amazon Fire TV,All Fire TV devices,Amazon Prime Video,,FireOS 7.6.1.3,Papua New Guinea,Port Moresby,,56faa7fc-0d30-41bc-b72e-c7e9b6082407,Video,gchavez,76-2155354,1303121,1282972
Personalized suggestions and recommendations for content,Tablets,17/10/2022 00:00:00,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget,9937136369,pthomasset6m@stanford.edu,Chat,Akamai,Universal Windows Platform (UWP),Xbox One X/S,Facebook Watch,,Windows 10,Cocos Islands,West Island,,b6199b59-ab79-4148-bd7a-9002c077f843,Video,byrdmichael,78-7560151,1755306,1306571
Personalized suggestions and recommendations for content,TV,28/11/2021 00:00:00,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,7433783067,mblaxill6n@uiuc.edu,Email,Akamai,Samsung Tizen TV,21TV_PREMIUM2,Eros Now,,Extension 6.5,Curacao,Willemstad,,84ef3135-0f14-41d5-a2c4-087b75e2fad5,Advertise,justinsherman,12-8960201,1429938,110
Response Time in different networks,Tablets,16/12/2021 00:00:00,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius,8627011338,plugg6o@fema.gov,Phone Call,Cloudfront,iOS,iOS Min version 12.6,Mx Player,,macOS Ventura 13.0.1,Malawi,Lilongwe,,56fa3aa3-303a-4e57-b9bd-59921b5022c3,Video,ramirezcourtney,55-2004408,1255291,2371642
Better user interface and workability,Laptop,05/03/2022 00:00:00,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed,7282284601,ahumbell6p@liveinternet.ru,Phone Call,Akamai,tvOS,tvOS 11.0,Eros Now,,Xcode 14.1,Solomon Islands,Honiara,,c7acd00b-d44b-4e8d-9a53-05ae5a015e14,Advertise,xsmith,57-9986455,1766084,2282562
Multiple user accounts,TV,16/02/2022 00:00:00,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus,3574355696,kpalphreyman6q@fc2.com,Email,Cloudfront,Android,Android 5.0,Disney + Hotstar,,Android 11,Laos,Vientiane,,137cca83-25e8-4400-8e6f-c166619e43a3,Video,morgan42,18-4860284,1598979,37
Personalized suggestions and recommendations for content,Desktop,05/07/2022 00:00:00,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,7308492222,npaddick6r@mapy.cz,Chat,Cloudfront,Android TV,Android TV 1st Generation,Zee5,,Android TV 12.3.2,Lithuania,Vilnius,,1a30f54b-75b1-4b5c-8897-960283deb825,Video,srussell,80-1463360,1700009,309231
Multiple user accounts,TV,13/08/2022 00:00:00,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,8476822057,btrayhorn6s@php.net,Chat,Akamai,Roku,Roku OS 9.4 3rd Generation,Jio Tv,,None,Serbia,Belgrade,,128ff455-ca60-410e-951e-6c45667bb3a9,Video,ronniecoffey,11-2238558,1591456,1835183
Better user interface and workability,Mobile,27/01/2022 00:00:00,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in,1646886240,dgaber6t@google.com.au,Phone Call,Cloudfront,Amazon Fire TV,All Fire TV devices,Peacock,,FireOS 7.6.1.3,Nicaragua,Managua,,0f2f6d9b-2891-4459-8caf-06a933a06509,Video,kathleen63,95-2242459,1444099,2183588
Customer Support,TV,25/10/2022 00:00:00,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est,5890152432,dcaldaro6u@sitemeter.com,Chat,Akamai,Universal Windows Platform (UWP),Xbox One X/S,Amazon Prime Video,,Windows 10,Sri Lanka,Colombo,,23ab0b8f-7cd6-4d43-b54e-7637cca629bf,Video,karina10,00-5671424,1627604,636245
Offline content,Laptop,10/07/2022 00:00:00,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,2180475438,bbellson6v@istockphoto.com,Chat,Akamai,Samsung Tizen TV,21TV_PREMIUM2,Amazon Prime Video,,Extension 6.5,Venezuela,Caracas,,18e60636-146b-47ce-8250-560e341613e5,Video,catherineryan,57-0975613,1533746,73764
Playback Quality,Desktop,01/07/2022 00:00:00,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,9747619253,qteall6w@wordpress.org,Email,Akamai,iOS,iOS Min version 12.6,Alt Balaji,,macOS Ventura 13.0.1,North Korea,Pyongyang,,434cc44b-d505-4950-8e64-ecb237d46347,Advertise,andrewgentry,59-8580450,1659113,647858
Personalized suggestions and recommendations for content,Tablets,07/06/2022 00:00:00,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,179148540,kgooddy6x@ucsd.edu,Chat,Akamai,tvOS,tvOS 11.0,Hulu,,Xcode 14.1,Switzerland,Berne,,68a03275-f032-4ca3-92b6-003699f6b316,Video,smay,71-2186832,1276035,1308535
Personalized suggestions and recommendations for content,TV,09/11/2022 00:00:00,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,9342741177,cmcwhinnie6y@wordpress.org,Email,Akamai,Android,Android 5.0,Amazon Prime Video,,Android 11,Cape Verde,Praia,,8328b2ea-02a6-4547-a02b-3e42687601f5,Advertise,brownheather,31-3593602,1812017,728119
Response Time in different networks,Mobile,16/03/2022 00:00:00,ut blandit non interdum in ante vestibulum ante ipsum primis,8715641112,mgudde6z@chronoengine.com,Chat,Akamai,Android TV,Android TV 1st Generation,HBO Max,,Android TV 12.3.2,Spain,Madrid,,857dec25-c4a3-4be1-90c9-dcf064329620,Advertise,richard36,48-1088412,1540012,854465
Offline content,Laptop,21/07/2022 00:00:00,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst,6399936896,cgudgeon70@wiley.com,Email,Akamai,Roku,Roku OS 9.4 3rd Generation,Facebook Watch,,None,Dominican Republic,Santo Domingo,,3ed2866d-0fc6-4ca1-a1af-e18a72369cde,Video,jonhubbard,42-3506996,1582743,358549
Personalized suggestions and recommendations for content,TV,28/09/2022 00:00:00,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet,1770293671,ebrenstuhl71@umn.edu,Chat,Cloudfront,Amazon Fire TV,All Fire TV devices,Netflix,,FireOS 7.6.1.3,United States,Washington,,e31d2de5-20cc-43c0-beb9-4d383ba2a9ab,Advertise,vgomez,42-1486942,1891614,1593677
Personalized suggestions and recommendations for content,TV,20/09/2022 00:00:00,odio consequat varius integer ac leo pellentesque ultrices mattis odio,6016271748,tbecom72@spotify.com,Phone Call,Akamai,Universal Windows Platform (UWP),Xbox One X/S,Mx Player,,Windows 10,Nigeria,Abuja,,135f10d5-d07b-4fbb-8dd9-70e44fbd81dc,Advertise,anthonycastaneda,78-5789700,1685016,1453603
Customer Support,Desktop,08/03/2022 00:00:00,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,8716975154,gbelding73@weebly.com,Email,Akamai,Samsung Tizen TV,21TV_PREMIUM2,Eros Now,,Extension 6.5,Svalbard and Jan Mayen,Longyearbyen,,a721a1b6-cdf0-4b2c-8fdf-3ccad3afc8e2,Video,josephjohnson,72-3029521,1656238,2151380
Better user interface and workability,Mobile,30/06/2022 00:00:00,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula,7962390786,kingreda74@networkadvertising.org,Phone Call,Cloudfront,iOS,iOS Min version 12.6,Zee5,,macOS Ventura 13.0.1,Aruba,Oranjestad,,db889234-f5d4-47b2-b33e-25efb6714898,Video,kwilliams,36-7297775,1444375,2330306
Functionalities and features of the app,TV,17/06/2022 00:00:00,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat,6681054293,aortzen75@is.gd,Phone Call,Cloudfront,tvOS,tvOS 11.0,Mx Player,,Xcode 14.1,Guinea-Bissau,Bissau,,793a07c4-b9cf-4aa3-bf55-0c47d6221097,Advertise,wrightrobert,28-2840076,1148952,1021350
Device/Browser Compatibility,Mobile,01/02/2022 00:00:00,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,1307277594,cbrickhill76@apple.com,Chat,Cloudfront,Android,Android 5.0,HBO Max,,Android 11,Iceland,Reykjavik,,c4283dca-4aaa-4d23-8e7b-52eadce86e3b,Advertise,heather44,86-1935951,1397248,1921484
Better user interface and workability,Desktop,25/07/2022 00:00:00,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,6427306901,fthurstan77@fc2.com,Phone Call,Akamai,Android TV,Android TV 1st Generation,Sling TV,,Android TV 12.3.2,Slovenia,Ljubljana,,0fe82679-d5fd-4e80-af16-5e038399eeb7,Advertise,kimanne,15-9514695,1513777,2426136
Functionalities and features of the app,TV,03/04/2022 00:00:00,consequat morbi a ipsum integer a nibh in quis justo maecenas,966013522,tpeers78@wordpress.org,Phone Call,Cloudfront,Roku,Roku OS 9.4 3rd Generation,Sling TV,,None,Paraguay,Asuncion,,2c15396b-fc02-4342-9229-b1790ff790f8,Advertise,reginaballard,09-2767298,1352424,2423941
Better user interface and workability,TV,10/06/2022 00:00:00,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,182812391,rpioch79@stanford.edu,Email,Cloudfront,Amazon Fire TV,All Fire TV devices,Alt Balaji,,FireOS 7.6.1.3,Turks and Caicos Islands,Cockburn Town,,8a426147-7cf9-45e4-bc02-0e958d9f1ddf,Advertise,alexis32,08-8426816,1585697,2136188
Multiple user accounts,Tablets,09/03/2022 00:00:00,augue a suscipit nulla elit ac nulla sed vel enim,3201104795,bspurdens7a@creativecommons.org,Email,Cloudfront,Universal Windows Platform (UWP),Xbox One X/S,Airtel Xstream,,Windows 10,Georgia,Tbilisi,,3b517816-4067-45d2-bb51-194df7cd6e79,Video,ryan73,64-0977723,1552427,2446816
Device/Browser Compatibility,Tablets,29/12/2021 00:00:00,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo,4921404267,pdurban7b@irs.gov,Phone Call,Akamai,Samsung Tizen TV,21TV_PREMIUM2,ShemarooMe,,Extension 6.5,Northern Mariana Islands,Saipan,,231f1128-1a16-415a-a9c1-8a6c550dd9f2,Video,gatesalbert,56-3050803,1194650,1846469
Customer Support,Laptop,14/02/2022 00:00:00,id luctus nec molestie sed justo pellentesque viverra pede ac,8049109070,flivingstone7c@twitpic.com,Chat,Akamai,iOS,iOS Min version 12.6,Peacock,,macOS Ventura 13.0.1,Honduras,Tegucigalpa,,aca553c6-3a91-4414-8e4f-8812561a8b45,Advertise,ebyrd,23-7013581,1516910,665708
Better user interface and workability,Mobile,17/09/2022 00:00:00,in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,6274655042,bohanvey7d@mayoclinic.com,Email,Cloudfront,tvOS,tvOS 11.0,Facebook Watch,,Xcode 14.1,Greenland,Nuuk,,cb443304-da45-4645-896c-e213bf608fe5,Advertise,hgarza,23-8758420,1847834,1918804
Playback Quality,Tablets,28/03/2022 00:00:00,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh,9853337762,mkunc7e@eepurl.com,Email,Akamai,Android,Android 5.0,Sling TV,,Android 11,Kosovo,Pristina,,db8dbac3-8e78-492d-ba1e-0356c153fda8,Advertise,lwalker,89-7511993,1647128,1650911
